Price,Close,High,Low,Open,Volume
Ticker,AAPL,AAPL,AAPL,AAPL,AAPL
Date,,,,,
04-04-2023,163.114502,164.3061166832112,162.60239523685718,164.06977129650792,46278300
05-04-2023,161.27288818359375,162.54330471265868,159.34266411557562,162.2380152446489,51511700
06-04-2023,162.15924072265625,162.45468749786315,159.53963569062748,159.96309788102116,45390100
10-04-2023,159.56915283203125,159.56915283203125,157.64877164706385,158.96841666370352,47716900
11-04-2023,158.3578338623047,159.8941387722609,158.0722298566841,159.88429605818737,47644200
12-04-2023,157.66847229003906,159.59869619161648,157.35332510698044,158.77145737665472,50133100
13-04-2023,163.04559326171875,163.28195372678312,158.96846915841905,159.17528644373158,68445600
14-04-2023,162.7008819580078,163.79402444901268,161.3319931654023,162.09028798128088,49386500
17-04-2023,162.7205810546875,162.87815467656333,161.53880894471416,162.58270789230806,41516200
18-04-2023,163.94174194335938,164.86746811951792,163.13418846133288,163.57736611842117,49923000
19-04-2023,165.08412170410156,165.60607111909823,163.02585218946155,163.2819130529251,47720200
20-04-2023,164.1189727783203,165.3204450523275,163.04553091898333,163.56748026442403,52456400
21-04-2023,162.5137481689453,163.9220227028112,161.9917988,162.5432913390932,58337300
24-04-2023,162.8190460205078,163.0849495926161,161.40091367199096,162.49405610505224,41949600
25-04-2023,161.28273010253906,163.78414697340926,161.24332919160244,162.68116189989732,48714100
26-04-2023,161.27288818359375,162.7698073781101,160.32747660698578,160.58352244501583,45498800
27-04-2023,165.85227966308594,165.99999552987848,162.68118215487013,162.68118215487013,64902300
28-04-2023,167.10293579101562,167.27036709773776,165.33028575815172,165.9310218332577,55275900
01-05-2023,167.01431274414062,167.86125191507637,166.07874407354768,166.70902333840385,52472900
02-05-2023,165.98028564453125,167.76280882251325,164.9954731830596,167.50674796522142,48425700
03-05-2023,164.90682983398438,168.32412999077732,164.62124085601573,166.9256982160475,65136000
04-05-2023,163.27207946777344,164.50309525641927,161.81456098159026,162.38575411076772,81235400
05-05-2023,170.9339141845703,171.65282310766082,168.1665784150509,168.3832383689214,113453200
08-05-2023,170.86497497558594,171.20966537396347,169.49608615179136,169.86046198141287,55962800
09-05-2023,169.16123962402344,170.9043468501181,168.9938233,170.42179836441701,45326900
10-05-2023,170.92404174804688,171.38690478906514,169.28924951921832,170.39224965147537,53724500
11-05-2023,171.1111602783203,171.93839911576495,169.5551548305296,171.20964753246403,49514700
12-05-2023,170.1841583251953,171.6535489,168.6358569767775,171.21962961924467,45533100
